ltable_item_name,rtable_item_name,label
Khẩu trang y tế Pharmacity màu trắng (PO000306950 ),Oracortia 1g (Hop/50 Goi),0
ORACORTIA 1x1 GM,Oracortia 1g (Hop/50 Goi),1
KETOVAZOL 2%,Oracortia 1g (Hop/50 Goi),0
KIPEL CHEWABLE  TABLETS 4MG;,Oracortia 1g (Hop/50 Goi),0
BVS Diana SENSI Siêu Mỏng Cánh 20 - 2202,Diana BVS Sensi SM Canh (20M/Goi),1
MYDOCALM 150MG T/216H/3vỉ/10Viên,Diana BVS Sensi SM Canh (20M/Goi),0
THỰC PHẨM BỔ SUNG: NƯỚC CAM VITAMIN C CVITT 140ML,Diana BVS Sensi SM Canh (20M/Goi),0
Thực phẩm bảo vệ sức khỏe CONDITION PROBIO Hộp 30 gói_8809422042849,Diana BVS Sensi SM Canh (20M/Goi),0
Khẩu trang N95 hộp 10 chiếc,Diana BVS Sensi SM Canh (20M/Goi),0
Repraz-20 (Natri Rabeprazole 20mg; hộp 3 vỉ x 10 viên; NSX Medley - India),Diana BVS Sensi SM Canh (20M/Goi),0
Thực phẩm bảo vệ sức khỏe Brauer Baby & Kids Liquid Zinc 200mL,Diana BVS Sensi SM Canh (20M/Goi),0
PO000309300,Diana BVS Sensi Hang Ngay Khang Khuan 15.5cm 40M,0
(PO000309110),Diana BVS Sensi Hang Ngay Khang Khuan 15.5cm 40M,0
BVS Diana HN Kháng Khuẩn 40 - 2304,Diana BVS Sensi Hang Ngay Khang Khuan 15.5cm 40M,1
EUGICA ® COLD & FLU - 10's;,Diana BVS Sensi Hang Ngay Khang Khuan 15.5cm 40M,0
PHOSPHALUGEL 12.38G/20G B/26 SACHETS,Diana BVS Sensi Hang Ngay Khang Khuan 15.5cm 40M,0
"IMEXOFEN 60 VNB V/10, H/30",Diana BVS Sensi Hang Ngay Khang Khuan 15.5cm 40M,0
ARCOXIA TAB 120MG 30'S,Diana BVS Sensi Hang Ngay Khang Khuan 15.5cm 40M,0
JARDIANCE DUO 12.5MG/1000MG TABS30,Diana BVS Sensi Hang Ngay Khang Khuan 15.5cm 40M,0
"3MXA010915396N - 905228 - NEXCARE MIẾNG DÁN VẾT THƯƠNG B300 6X8CM SOFT CLOTH 60X80MM, 4 MIẾNG/HỘP",Diana BVS Sensi Hang Ngay Khang Khuan 15.5cm 40M,0
BVS Diana Sensi băng quần sizeM-L 5-2110,Diana Sensi BVS Dang Quan 360 Do Chong Trang Size M-L (5 Cai/Goi),1
Chiết khấu,Diana Sensi BVS Dang Quan 360 Do Chong Trang Size M-L (5 Cai/Goi),0
"WELSON BEAUTY COLLAGEN WATER BOOST (Lot: HG023003, EXP: 13/10/2025)",Diana Sensi BVS Dang Quan 360 Do Chong Trang Size M-L (5 Cai/Goi),0
Laurier SN Dem SieuAnToan 3504 4x48,Diana Sensi BVS Dang Quan 360 Do Chong Trang Size M-L (5 Cai/Goi),0
DEBRIDAT TAB 100MG 30'S,Diana Sensi BVS Dang Quan 360 Do Chong Trang Size M-L (5 Cai/Goi),0
CP61028720 - 932322 - KDR COL MF BẠC HÀ 225G + BC X 36,Colgate KDR MaxFresh Peppermint Ice 225g + BCDR,1
OSTEOCARE LIQUID 200ML,Colgate KDR MaxFresh Peppermint Ice 225g + BCDR,0
Novorapid FlexPen 300U/3ml B/5 (France),Colgate KDR MaxFresh Peppermint Ice 225g + BCDR,0
Keo cay con tau KDG FF Cam Chanh 25g,Colgate KDR MaxFresh Peppermint Ice 225g + BCDR,0
Lô: PHA02112302   HD: 10/2028,Colgate KDR MaxFresh Peppermint Ice 225g + BCDR,0
Siang Pure Oil Formula I loại 3cc,Colgate KDR MaxFresh Peppermint Ice 225g + BCDR,0
"PREGNACARE BREAST-FEEDING (HOP/56 VIEN NEN, 28 VIEN NANG)",Colgate KDR MaxFresh Peppermint Ice 225g + BCDR,0
CPCN06875A - 332528 -BCDR COL SLIMSOFT FLEX CLEAN X12,Cogalte BCDR Slim Soft Flex Clean,1
XUẤT HÀNG THEO PO000311204,Cogalte BCDR Slim Soft Flex Clean,0
LIPANTHYL 200M CAPSULES 2X15'S,Cogalte BCDR Slim Soft Flex Clean,0
ZESTORETIC TAB 20MG 28'S,Cogalte BCDR Slim Soft Flex Clean,0
PO000305397,Cogalte BCDR Slim Soft Flex Clean,0
Miếng dán mụn ( Acnes Clear Patch) 24 miếng - 8935006538924 (BARCODE),Colgate KDR Sensitive Pro Relief Complete Protection 110g,0
75597357 FOAMING CLEANSER 473ML 16OZ,Colgate KDR Sensitive Pro Relief Complete Protection 110g,0
EFFERALGAN 80MG SUPPO B/10,Colgate KDR Sensitive Pro Relief Complete Protection 110g,0
DUREX-BCS INVISIBLE EXTRA THIN/SENS 10S,Colgate KDR Sensitive Pro Relief Complete Protection 110g,0
CP61013109 - 000192 - BCDR COL SLIMSOFT CH CHARCOAL TWIN _VN X72,Colgate Bo Doi BCDR Slim Soft Charcoal,1
320119-70564-SẢN PHẨM CHỐNG NẮNG DẠNG ESSENCE 50G(SENKA PERFECT UV ESSENCE A 50G),Colgate Bo Doi BCDR Slim Soft Charcoal,0
OSPAMOX 500MG TAB 10'S (NQ) - AUSTRIA,Colgate Bo Doi BCDR Slim Soft Charcoal,0
"Phun sương xua muỗi Soffell 130 SL Mosquito Repellent, Orange Peel 80ml",Colgate Bo Doi BCDR Slim Soft Charcoal,0
CP61013109 - 000192 - BCDR COL SLIMSOFT CH CHARCOAL TWIN _VN X72,Colgate Bo Doi BCDR Slim Soft Charcoal,0
CTKM MT Q1.2024,Colgate Bo Doi BCDR Slim Soft Charcoal,0
Colchicine Capel 1mg (H/1 vỉ x 20 viên),Colgate Bo Doi BCDR Slim Soft Charcoal,0
200836-BVS Kotex hằng ngày MaxCool French Spa 20M*48,Colgate Bo Doi BCDR Slim Soft Charcoal,0
Thực phẩm bảo vệ sức khỏe Brauer Baby & Kids Ultra Pure DHA 60 Softgels,Colgate Bo Doi BCDR Slim Soft Charcoal,0
CPCN06907A - 332542-BCDR COL SS FLEX CLEAN CHARCOAL 1PK_ASIA*12,Colgate BCDR Slim Soft Flex Clean Charcoal,1
BVS MOLPED TN M.LANH CANH 8X8X6,Colgate BCDR Slim Soft Flex Clean Charcoal,0
DẦU KHUYNH DIỆP OPC 25ml,Colgate BCDR Slim Soft Flex Clean Charcoal,0
Panthenol nano bạc,Colgate BCDR Slim Soft Flex Clean Charcoal,0
Thuốc bôi da trị mụn (OXY 5)  10g - (Việt Nam),Colgate BCDR Slim Soft Flex Clean Charcoal,0
Ospay neo 15ml                                                                                                                    Lô sx: 2304; Hạn SD: 31/03/2025,Colgate BCDR Slim Soft Flex Clean Charcoal,0
Dầu gội DL Nguyên Xuân dưỡng tóc 250ml,Colgate BCDR Slim Soft Flex Clean Charcoal,0
CPCN07591A - 714812-BCDR COL SMILES 5-9 BARBIEBATMAN_1PK_ASIA*72,Colgate BCDR Tre Em Spider Men/Batman,1
ORACORTIA 1x1 GM,Colgate BCDR Tre Em Spider Men/Batman,0
PONDS SRM BRIGHT BEAUTY RE0123 24X50G,Colgate BCDR Tre Em Spider Men/Batman,0
Thuốc bôi da trị mụn (OXY 5)  10g - (Việt Nam),Colgate BCDR Tre Em Spider Men/Batman,0
TRAJENTA DUO. FICTA/ 14/2.5+500MG BTL,Colgate BCDR Tre Em Spider Men/Batman,0
Yumangel,Colgate BCDR Tre Em Spider Men/Batman,0
PO000307295,Colgate BCDR Tre Em Spider Men/Batman,0
DIANE 35 TAB 21'S,Colgate BCDR Tre Em Spider Men/Batman,0
TIFFY SIRÔ 1x30 CC,Colgate BCDR Tre Em Spider Men/Batman,0
PO000307448,Colgate BCDR Tre Em Spider Men/Batman,0
CP61015151 - 327647 - KDR COL CSPR COM PRO NGĂN Ê BUỐT 110GX24,Colgate KDR Sensitive Pro Relief Complete Protection 110g,1
CPTH03345A - 327647 - KDR COL CSPR COMPLE PRT 110G*24,Colgate KDR Sensitive Pro Relief Complete Protection 110g,1
Kẹo Himalaya Salt Mint Candy Lemon Flavour gói 15g,Colgate KDR Sensitive Pro Relief Complete Protection 110g,0
CP61004748 - 825996-KDR COL TRẺ EM THIÊN NHIÊN 6-9 TUỔI 80GX48,Colgate KDR Tre Em Ngua Sau Rang Huong Dau Bac Ha 6-9 Tuoi 80g,1
Chiết khấu,Colgate KDR Tre Em Ngua Sau Rang Huong Dau Bac Ha 6-9 Tuoi 80g,0
Chiết khấu,Colgate KDR Tre Em Ngua Sau Rang Huong Dau Bac Ha 6-9 Tuoi 80g,0
Apidra Solostar 300IU/3ml 5's VN,Colgate KDR Tre Em Ngua Sau Rang Huong Dau Bac Ha 6-9 Tuoi 80g,0
Dophazolin 15ml                                                                                      Lô SX: 0211222; HSD: 17/12/2024,Colgate KDR Tre Em Ngua Sau Rang Huong Dau Bac Ha 6-9 Tuoi 80g,0
CP61029659 - 114442-NSM OPWHITECHARC FR.MINT500ML B.DOIX12BO,Colgate Bo Doi NSM Optic White Charcoal 500ml*2,1
ORACORTIA 1x1 GM,Colgate Bo Doi NSM Optic White Charcoal 500ml*2,0
MINIRIN TAB 0.1MG B/30,Colgate Bo Doi NSM Optic White Charcoal 500ml*2,0
Nước súc miệng DL Ngọc Châu 350ml,Colgate Bo Doi NSM Optic White Charcoal 500ml*2,0
Thực phẩm bảo vệ sức khỏe Brauer Baby & Kids Liquid Zinc 200mL,Colgate Bo Doi NSM Optic White Charcoal 500ml*2,0
Que thử thai PMC (Hộp 1 cái),Cao Xoa Sao Vang 4g Danapha (1Hop),0
Cao sao vàng (Hộp 4g),Cao Xoa Sao Vang 4g Danapha (1Hop),1
Cefuking ( Cefuroxim 250mg ) - Hộp 30 viên - US Pharma ,Cao Xoa Sao Vang 4g Danapha (1Hop),0
"COMBIVENT 2.5MG/0.5MG 2,5ML B/10 VIALS",Cao Xoa Sao Vang 4g Danapha (1Hop),0
ENERVON TAB B/10BLX10,Cao Xoa Sao Vang 4g Danapha (1Hop),0
"Megaduo plus (15g) (SL: MGP010723, HD: 15/07/2026)",Cao Xoa Sao Vang 4g Danapha (1Hop),0
Hapacol 80 gói/1.5gr h/24 t/3456,Cao Xoa Sao Vang 4g Danapha (1Hop),0
DAU XANH EAGLE 12ml,Cao Xoa Sao Vang 4g Danapha (1Hop),0
75597197 FOAM CLEANSER 236ML 8OZ,Cao Xoa Sao Vang 4g Danapha (1Hop),0
DIAMICRON MR TAB 60MG 30'S,Cao Xoa Sao Vang 4g Danapha (1Hop),0
"Kẹo Tic Tac hương dâu và dâu bạc hà 14,5 g",Cao Xoa Sao Vang 4g Danapha (1Hop),0
CPCN06875A - 332528 -BCDR COL SLIMSOFT FLEX CLEAN X12,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
ONG HIT STAR DANAPHA,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",1
AUGMENTIN TABLET 1G 2x7'S,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
Ospay neo 15ml                                                                                                                    Lô sx: 2304; Hạn SD: 31/03/2025,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
YASMIN TAB 1X21'S,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
COVERSYL PLUS 5/1.25MG TAB ARGININE 30'S,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
SMECTA (ORANGE-VANILLA) 3GR B/10 SACH.,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
Dung dịch vệ sinh - SAFORELLE gentle cleansing care 100 ml,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
CEELIN SYRUP BT/120ML,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
Amitriptylin 25mg (lọ 100v),Amitriptylin 25mg (100 Vien/Chai) Danapha,1
Sản phẩm xua muỗi dạng xịt hương Lavender (Mentholatum Remos) 70ml  ,Amitriptylin 25mg (100 Vien/Chai) Danapha,0
Dung dịch vệ sinh tăng cường dưỡng ẩm - SAFORELLE Intensive Moisturizing Cleansing Care 100ml,Amitriptylin 25mg (100 Vien/Chai) Danapha,0
4547691239099 - Bao Cao Su Okamoto Vanilla 10's,Amitriptylin 25mg (100 Vien/Chai) Danapha,0
"RHINEX 0,05%  (Lốc 10 chai 15ml)",Amitriptylin 25mg (100 Vien/Chai) Danapha,0
PO000309833,Amitriptylin 25mg (100 Vien/Chai) Danapha,0
EFFERALGAN 80MG SACHETS B/12,Amitriptylin 25mg (100 Vien/Chai) Danapha,0
Amitriptylin 25mg (lọ 100v),Amitriptylin 25mg (100 Vien/Chai) Danapha,1
82883 XNM NAM M LANH (BLUE) 150ML,Amitriptylin 25mg (100 Vien/Chai) Danapha,0
DIAMICRON MR TAB 30MG 60'S,Amitriptylin 25mg (100 Vien/Chai) Danapha,0
AVELOX TAB 400MG 5'S,Amitriptylin 25mg (100 Vien/Chai) Danapha,0
Thực phẩm bảo vệ sức khỏe Brauer Baby & Kids Liquid Zinc 200mL,Amitriptylin 25mg (100 Vien/Chai) Danapha,0
Cao sao vàng (Hộp 4g),Cao Xoa Sao Vang 4g Danapha (1Hop),1
MEBENDAZOL,Cao Xoa Sao Vang 4g Danapha (1Hop),0
THYROZOL 5MG TAB 10X10'S,Cao Xoa Sao Vang 4g Danapha (1Hop),0
ONG HIT STAR DANAPHA,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",1
SARA  SIRÔ CAM 60CC,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
"PREGNACARE BREAST-FEEDING (HOP/56 VIEN NEN, 28 VIEN NANG) - UNITED KINGDOM","Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
Shelf life: 3 năm kể từ ngày sản xuất,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
HỘP 10 CHAI TPBVSK CONDITION 75ml,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
Ospay neo 15ml                                                                                                                    Lô sx: 2304; Hạn SD: 31/03/2025,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
FLUOMIZIN 10MG,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
LANTUS Solostar 100IU/ml B/5 pens x 3ml,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
Pizar - 6mg (Hộp/4 viên),"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
PO000307182,"Ong Hit Star 1,5g Danapha (Sao Vang) (1Hop)",0
Lưỡi VECTOR 2S,Gillette Luoi Dao Cao Vector Plus 2 Luoi/Vi,1
320119-70564-SẢN PHẨM CHỐNG NẮNG DẠNG ESSENCE 50G(SENKA PERFECT UV ESSENCE A 50G),Gillette Luoi Dao Cao Vector Plus 2 Luoi/Vi,0
Kẹo thảo mộc Ricola Alpin fresh không đường 40 g (hàng khuyến mại),Gillette Luoi Dao Cao Vector Plus 2 Luoi/Vi,0
PO000306342,Gillette Luoi Dao Cao Vector Plus 2 Luoi/Vi,0
TRAJENTA DUO. FICTA/ 14/2.5+500MG BTL,Gillette Luoi Dao Cao Vector Plus 2 Luoi/Vi,0
Thực Phẩm Bổ Sung: Nước Giải Khát Vị Cam Và Chanh Vàng Playmore Double C,Gillette Luoi Dao Cao Vector Plus 2 Luoi/Vi,0
MENOPACE (H/30 VIEN),Gillette Luoi Dao Cao Vector Plus 2 Luoi/Vi,0
ZITROMAX TAB 500MG 3'S,Zitromax Tab 500mg(1vix3vien),1
Dầu gội khô Dazzling Volume -200ml,Zitromax Tab 500mg(1vix3vien),0
THC04 - Siro Ho Cảm Ích nhi (5ml),Zitromax Tab 500mg(1vix3vien),0
DIAMICRON MR TAB 60MG 30'S,Zitromax Tab 500mg(1vix3vien),0
DIANE 35 TAB 21'S,Zitromax Tab 500mg(1vix3vien),0
"Haginat 125 gói/3,5gr h/24 t/2376",Zitromax Tab 500mg(1vix3vien),0
Bông y tế Bạch Tuyết  45gr - M,Zitromax Tab 500mg(1vix3vien),0
Meragin P,Medrol Tab 16mg(3vix10vien),0
AVODART CAP 0.5MG 3X10'S,Medrol Tab 16mg(3vix10vien),0
Dầu tràm Cung Đình_Gold 50 ml,Medrol Tab 16mg(3vix10vien),0
DOROCRON MR 30mg VNE H/2vỉx30viên -CSBH-2023_KHTT-00723-050526-CK15%-DMC 1,Medrol Tab 16mg(3vix10vien),0
PO000306342,Medrol Tab 16mg(3vix10vien),0
"Megaduo gel (15g) (SL: MGC010723, HD: 04/07/2026)",Medrol Tab 16mg(3vix10vien),0
CIPROBAY TAB 500MG 10'S,Medrol Tab 16mg(3vix10vien),0
Valsacard 160mg (Nước sx: Poland),"Natriclorid 0,9% 10ml ( loc 10 chai)",0
PO000309763,"Natriclorid 0,9% 10ml ( loc 10 chai)",0
M9054421 EFFACLAR GEL 200ML,"Natriclorid 0,9% 10ml ( loc 10 chai)",0
KDR SSD Repair & Protect Deep Repair WTN,"Natriclorid 0,9% 10ml ( loc 10 chai)",0
LIVERIL (H/30 VIEN) - UNITED KINGDOM,"Natriclorid 0,9% 10ml ( loc 10 chai)",0
Jasunny (hộp 50 gói x 5g),"Natriclorid 0,9% 10ml ( loc 10 chai)",0
Klamentin 875/125 v/7 h/14 t/2100,"Natriclorid 0,9% 10ml ( loc 10 chai)",0
PO000306074,B complex C - Vidipha (10vi x 10vien),0
BVS Diana STSM Không Cánh 08-2008,B complex C - Vidipha (10vi x 10vien),0
Dầu Mù u 30ml (H/1 chai x 30ml ),B complex C - Vidipha (10vi x 10vien),0
HEMOPROPIN 20g (H/Tuýp),B complex C - Vidipha (10vi x 10vien),0
"CLAMINAT 625MG VB,H/14",B complex C - Vidipha (10vi x 10vien),0
B COMPLEX C,B complex C - Vidipha (10vi x 10vien),1
B COMPLEX C,B complex C - Vidipha (10vi x 10vien),1
PEARL COLLAGEN ESSENCE MASK 23g,B complex C - Vidipha (10vi x 10vien),0
METHYLPREDNISOLON 16mg,Methylprednisolon 16mg Vidipha (10vi x 10vien),1
PO000280167,Methylprednisolon 16mg Vidipha (10vi x 10vien),0
GYNAPAX,Methylprednisolon 16mg Vidipha (10vi x 10vien),0
Dạ hương Tươi Mới 100ml,Methylprednisolon 16mg Vidipha (10vi x 10vien),0
Dầu xả dược liệu Nguyên Xuân 150ml KM 30ml,Amlodipin 5mg ( 3Vi x 10Vien) - Vidipha,0
4547691239099 - Bao Cao Su Okamoto Vanilla 10's,CEFUROXIM 500MG Vidiphar (10Vi x 10Vien),0
Đồ uống NUTRIBOOST DKY BLUEBERRY 170ML 6X4 PET,CEFUROXIM 500MG Vidiphar (10Vi x 10Vien),0
Dorithricin,CEFUROXIM 500MG Vidiphar (10Vi x 10Vien),0
Kem Dưỡng Trắng (HADALABO PERFECT WHITE TRANEXAMIC ACID CREAM) 50g,CEFUROXIM 500MG Vidiphar (10Vi x 10Vien),0
(PO000308721),CEFUROXIM 500MG Vidiphar (10Vi x 10Vien),0
CONCOR COR TAB 2.5MG 3X10'S,La Roche Posay Cicaplast Kem Duong Giup Lam Diu & Mat Da B5+ 40ml/Tuyp,0
KLENZIT MS 15G,La Roche Posay Cicaplast Kem Duong Giup Lam Diu & Mat Da B5+ 40ml/Tuyp,0
MB497800 CICAPLAST CREAM B5+ 40ML,La Roche Posay Cicaplast Kem Duong Giup Lam Diu & Mat Da B5+ 40ml/Tuyp,1
MB497800 CICAPLAST CREAM B5+ 40ML,La Roche Posay Cicaplast Kem Duong Giup Lam Diu & Mat Da B5+ 40ml/Tuyp,1
ITOPAGI,La Roche Posay Cicaplast Kem Duong Giup Lam Diu & Mat Da B5+ 40ml/Tuyp,0
Kẹo thảo mộc Ricola tự nhiên Original không đường 40 g,La Roche Posay Cicaplast Kem Duong Giup Lam Diu & Mat Da B5+ 40ml/Tuyp,0
BIO-OIL SKINCARE OIL;,LRP Nuoc Tay Trang Lam Sach Sau Danh Cho Da Nhay Cam 400ml 100950824,0
Bình rửa mũi xoang Ích Nhân (Bình + Lọ 30viên muối 2.25g); Số lô: Lô 032023; HSD: 31/12/2027,LRP Nuoc Tay Trang Lam Sach Sau Danh Cho Da Nhay Cam 400ml 100950824,0
NORMAGUT;250MG,LRP Nuoc Tay Trang Lam Sach Sau Danh Cho Da Nhay Cam 400ml 100950824,0
SINGULAIR 10MG 2X14 TAB VNM (HLM),LRP Nuoc Tay Trang Lam Sach Sau Danh Cho Da Nhay Cam 400ml 100950824,0
AERIUS 0.5MG/ML SYRUP 60ML B/1,LRP Nuoc Tay Trang Lam Sach Sau Danh Cho Da Nhay Cam 400ml 100950824,0
DOROCODON VBĐ H/2vỉx10viên -00823-201226-DMC 0,LRP Nuoc Tay Trang Lam Sach Sau Danh Cho Da Nhay Cam 400ml 100950824,0
Dầu gội DL Nguyên Xuân bồng bềnh 250ml,Nguyen Xuan DG Duoc Lieu Bong Benh Cho Toc Dau & Bet 250ml,1
UVS APIGEN - Gel cải thiện giảm bỏng rát- giảm phồng rộp da 10g. Lô 01250923. NSX 25-09-2023. HSD 25-09-2026,Nguyen Xuan DG Duoc Lieu Bong Benh Cho Toc Dau & Bet 250ml,0
DIOVAN 80MG 2X14,Diovan Tab. 80mg(2vix14vien),1
DIFFERIN CREAM 0.1% 30G,Diovan Tab. 80mg(2vix14vien),0
Mixtard 30 FlexPen 300IU/3ml B/5(France),Diovan Tab. 80mg(2vix14vien),0
Green Bird 72g - Set 6,Diovan Tab. 80mg(2vix14vien),0
"Thực phẩm bảo vệ sức khỏe CALCIUM & MAGNESIUM + VITAMIN D3 & K2, ZINC BONE HEALTH (60 VIÊN)",Diovan Tab. 80mg(2vix14vien),0
Khẩu trang 4D PMC Trắng (Hộp 10 cái),PMC Khau Trang 4D (hop 10 cai),1
KEM DUONG AVEENO BABY DA KHO NC 227G,PMC Khau Trang 4D (hop 10 cai),0
MIFREDNOR 10 (MIFEPRISTON 10MG) - HỘP 1 VIÊN - AGIMEXPHARM,PMC Khau Trang 4D (hop 10 cai),0
AMLOR TAB 5MG 30'S,PMC Khau Trang 4D (hop 10 cai),0
NEBILET TAB 5MG 14'S,PMC Khau Trang 4D (hop 10 cai),0
Philunimeton (Hộp/100 Viên) (Hóa đơn xuất cho PO000306924 ngày 09/01/2024),PMC Khau Trang 4D (hop 10 cai),0
VG-5 (Lọ),PMC Khau Trang 4D (hop 10 cai),0
TLC10 - Bột sủi TN Livecool (H chanh dây),PMC Khau Trang 4D (hop 10 cai),0
PMC BÔNG Y TẾ 25G,PMC Khau Trang 4D (hop 10 cai),0
Khẩu trang 4D PMC Đen (Hộp 10 cái),PMC Khau Trang 4D - Den (hop 10 cai),1
Tăm chỉ kẽ răng pharma,PMC Khau Trang 4D - Den (hop 10 cai),0
PAPILOCARE (7 CANNULAS X5ML),PMC Khau Trang 4D - Den (hop 10 cai),0
XUẤT THEO PO000309466,PMC Khau Trang 4D - Den (hop 10 cai),0
PG Bàn chải OralB Trà đen_BCD 3x6x16 (8.19),PMC Khau Trang 4D - Den (hop 10 cai),0
Kumano Sữa rửa mặt Reihaku Hatomugi 170g,PMC Khau Trang 4D - Den (hop 10 cai),0
VISMED EYE DROPS 0.3ML B/20,Normagut 250mg(3Vi x 10vien),0
PO000311423,Normagut 250mg(3Vi x 10vien),0
Thực phẩm bảo vệ sức khỏe siro + C Vitamin Herbal Syrup (Gói 5ml),Normagut 250mg(3Vi x 10vien),0
NORMAGUT;250MG,Normagut 250mg(3Vi x 10vien),1
AUGMENTIN TAB 625MG 2x7'S,Normagut 250mg(3Vi x 10vien),0
VITAMIN COLLAGEN ESSENCE MASK 23g,Normagut 250mg(3Vi x 10vien),0
THYROZOL 5MG TAB 10X10'S,Normagut 250mg(3Vi x 10vien),0
"PROBIO IMP TC, H/14G",Normagut 250mg(3Vi x 10vien),0
Insulatard FlexPen 300IU/3ml B/5(France),Normagut 250mg(3Vi x 10vien),0
Theo đơn hàng số PO000305600,Normagut 250mg(3Vi x 10vien),0
SP Lerdipin,Normagut 250mg(3Vi x 10vien),0
ST JOHNSON'S CHUA SUA & GAO 500ML_N,Syndopa 275 (5Vi x 10Vien),0
CETAPHIL GENTLE SKIN CLEANSER 125ML,Syndopa 275 (5Vi x 10Vien),0
APISOLVAT 10G,Syndopa 275 (5Vi x 10Vien),0
GOFEN 400 CLEARCAP;400MG,Syndopa 275 (5Vi x 10Vien),0
CEELIN SYRUP BT/120ML,Syndopa 275 (5Vi x 10Vien),0
DIANE 35 TAB 21'S,Syndopa 275 (5Vi x 10Vien),0
SUNSIZOPIN 25;25MG,Sunsizopin 25mg (5 Vi x 10 Vien),1
DIFLUCAN CAP 150MG 1'S,Sunsizopin 25mg (5 Vi x 10 Vien),0
82883 XNM NAM M LANH (BLUE) 150ML,Sunsizopin 25mg (5 Vi x 10 Vien),0
ABMEXIC 7.5 TABLETS 3X10'S,Sunsizopin 25mg (5 Vi x 10 Vien),0
MEGA WE CARE NAT C;,Sunsizopin 25mg (5 Vi x 10 Vien),0
COVERAM 5-10 TAB 5MG-10MG 30'S,Sunsizopin 25mg (5 Vi x 10 Vien),0
Mặt nạ đất sét Vedette Cocoa 12g,Kipel 10mg Chewble ( 4vi x 7vien),0
"MEN’S GINSENG ALIPAS, Hộp/60 viên, Lô: MN07082360, HSD: 19/06/2026",Kipel 10mg Chewble ( 4vi x 7vien),0
KHĂN GIẤY LỤA PHARMACITY 180 TỜ,Kipel 10mg Chewble ( 4vi x 7vien),0
BRUFEN 100MG/5ML BOTTLE 60ML,Kipel 10mg Chewble ( 4vi x 7vien),0
"Dung dịch vệ sinh mũi - Trẻ em Nước biển sâu Xisat (75 ml), Việt Nam, (01 chai/hộp)",Kipel 10mg Chewble ( 4vi x 7vien),0
Thực phẩm bảo vệ sức khoẻ Brauer Kids Liquid Growth Support for Kids,Kipel 10mg Chewble ( 4vi x 7vien),0
Alsiful S.R. Tablets 10mg,Encorate 200mg (10 Vi x 10 Vien),0
KETOSTERIL TAB 100'S,Encorate 200mg (10 Vi x 10 Vien),0
Ăn ngon ngủ ngon Đông trùng hạ thảo (PO000287476),Encorate 200mg (10 Vi x 10 Vien),0
Khăn giấy bỏ túi LET-GREEN 3 MÙI 10miếng,Encorate 200mg (10 Vi x 10 Vien),0
ROCIMUS 0.1%W/W;0.10%,Rocimus 0.1%w/w (Tuyp 10g),1
LISONORM T/270H/3vỉ/10Viên,Rocimus 0.1%w/w (Tuyp 10g),0
CETAPHIL GENTLE SKIN CLEANSER 125ML,Rocimus 0.1%w/w (Tuyp 10g),0
Nature's Way KSVG Multi + Vegies 60s slb,Rocimus 0.1%w/w (Tuyp 10g),0
CTKM MT Q1.2024,HCQ (10Vi x 10Vien),0
PO000306671,HCQ (10Vi x 10Vien),0
Dạ hương Pharma Moisturizing 120ml - Dưỡng ẩm,HCQ (10Vi x 10Vien),0
320349-70120-SENKA NƯỚC TT MICELLAR 2 LỚP 230ML(SENKA A.L.L. CLEAR MILKY WATER 230ML),HCQ (10Vi x 10Vien),0
Dung dịch xịt tai ABC Earicilin 30ml. Lô 0323. NSX 10-10-2023. HSD 10-10-2026,HCQ (10Vi x 10Vien),0
VIACORAM 3.5MG/2.5MG TAB 30'S,HCQ (10Vi x 10Vien),0
BERODUAL 10ML MDI (HFA) B/1 BT,Spiromide (2vix10vien),0
DROSPERIN TABLETS 1X28'S,Spiromide (2vix10vien),0
Thực phẩm bảo vệ sức khỏe LiveSpo® CLAUSY (20 ống/hộp) (Giấy tiếp nhận đăng ký bản công bố sản phẩm số 4071/2021/ĐKSP của  Cục ATTP. Sản phẩm DNKHCN số 103/DNKHCN do Sở KHCN HN cấp),Spiromide (2vix10vien),0
BETADINE ANTISEPTIC SOL 10% 30ML,Spiromide (2vix10vien),0
